Sakoe Chiba value,ms
1,3369
11,3365
21,3229
31,3336
41,3381
51,3636
61,3451
71,3954
81,3464
91,3386
101,3370
121,3798
141,3732
161,3441
181,3364
201,3656
221,3610
241,3873
261,4675
281,3789
301,3765
321,3840
341,3800
361,4715
381,4288
401,3982
421,4301
441,4311
461,4041
481,4281
501,4354
536,4211
571,4519
606,4356
641,4585
676,4953
711,4699
746,4830
781,4873
816,4930
851,5312
886,4937
921,4841
956,4837
991,5183
1046,5590
1101,5151
1156,5193
1211,5282
1266,5240
1321,5048
1376,5038
1431,5235
1486,5633
1741,5562
1996,5648
